animeID, request_cached, title, title_english, title_japanese, title_synonyms, image_url, type, source, episodes, status, airing, aired, duration, rating, score, scored_by, rank, popularity, members, favorites, background, premiered, broadcast, related, producer, licensor, studio, genre, opening_theme, ending_theme
6953,False,Ningen Doubutsuen,Clap Vocalism,人間動物園,['Human Zoo'],https://cdn.myanimelist.net/images/anime/13/16203.jpg,Movie,Original,1,Finished Airing,False,"{'from': '1962-01-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 1, 'month': 1, 'year': 1962}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': '1962'}",2 min,PG-13 - Teens 13 or older,2.79,2089,10709,7494,3078,2,None,,,{},"[{'mal_id': 377, 'type': 'anime', 'name': 'Kuri Jikken Manga Kobo', 'url': 'https://myanimelist.net/anime/producer/377/Kuri_Jikken_Manga_Kobo'}]",[],[],"[{'mal_id': 5, 'type': 'anime', 'name': 'Dementia', 'url': 'https://myanimelist.net/anime/genre/5/Dementia'}]",[],[]
6954,True,Kara no Kyoukai 8: Shuushou,the Garden of sinners Chapter 8: The Final Chapter,劇場版 空の境界 the Garden of sinners 終章,"['Kara no Kyoukai: Epilogue', 'The Garden of Sinners Epilogue', 'The Garden of Sinners: the Garden of Sinners']",https://cdn.myanimelist.net/images/anime/6/78756.jpg,Special,Light novel,1,Finished Airing,False,"{'from': '2011-02-02T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 2, 'month': 2, 'year': 2011}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Feb 2, 2011'}",33 min,PG-13 - Teens 13 or older,7.22,42228,2666,1525,82391,150,None,,,"{'Adaptation': [{'mal_id': 2062, 'type': 'manga', 'name': 'Kara no Kyoukai: The Garden of Sinners', 'url': 'https://myanimelist.net/manga/2062/Kara_no_Kyoukai__The_Garden_of_Sinners'}], 'Prequel': [{'mal_id': 5205, 'type': 'anime', 'name': 'Kara no Kyoukai 7: Satsujin Kousatsu (Go)', 'url': 'https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go'}], 'Sequel': [{'mal_id': 14807, 'type': 'anime', 'name': 'Kara no Kyoukai: Mirai Fukuin', 'url': 'https://myanimelist.net/anime/14807/Kara_no_Kyoukai__Mirai_Fukuin'}]}",[],"[{'mal_id': 493, 'type': 'anime', 'name': 'Aniplex of America', 'url': 'https://myanimelist.net/anime/producer/493/Aniplex_of_America'}]","[{'mal_id': 43, 'type': 'anime', 'name': 'ufotable', 'url': 'https://myanimelist.net/anime/producer/43/ufotable'}]","[{'mal_id': 7, 'type': 'anime', 'name': 'Mystery', 'url': 'https://myanimelist.net/anime/genre/7/Mystery'}]",[],"['""snow falling"" by Kalafina']"
6956,True,Working!!,Wagnaria!!,ワーキング!!,['Working!!'],https://cdn.myanimelist.net/images/anime/10/75262.jpg,TV,4-koma manga,13,Finished Airing,False,"{'from': '2010-04-04T00:00:00+00:00', 'to': '2010-06-27T00:00:00+00:00', 'prop': {'from': {'day': 4, 'month': 4, 'year': 2010}, 'to': {'day': 27, 'month': 6, 'year': 2010}}, 'string': 'Apr 4, 2010 to Jun 27, 2010'}",24 min per ep,PG-13 - Teens 13 or older,7.71,163326,1003,346,340276,2319,None,Spring 2010,Unknown,"{'Adaptation': [{'mal_id': 3044, 'type': 'manga', 'name': 'Working!!', 'url': 'https://myanimelist.net/manga/3044/Working'}], 'Sequel': [{'mal_id': 10521, 'type': 'anime', 'name': ""Working'!!"", 'url': 'https://myanimelist.net/anime/10521/Working'}], 'Alternative setting': [{'mal_id': 33094, 'type': 'anime', 'name': 'WWW.Working!!', 'url': 'https://myanimelist.net/anime/33094/WWWWorking'}]}","[{'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}, {'mal_id': 211, 'type': 'anime', 'name': 'Rakuonsha', 'url': 'https://myanimelist.net/anime/producer/211/Rakuonsha'}]","[{'mal_id': 372, 'type': 'anime', 'name': 'NIS America, Inc.', 'url': 'https://myanimelist.net/anime/producer/372/NIS_America_Inc'}]","[{'mal_id': 56, 'type': 'anime', 'name': 'A-1 Pictures', 'url': 'https://myanimelist.net/anime/producer/56/A-1_Pictures'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}, {'mal_id': 42, 'type': 'anime', 'name': 'Seinen', 'url': 'https://myanimelist.net/anime/genre/42/Seinen'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]","['""SOMEONE ELSE"" by Popura Taneshima, Mahiru Inami, and Yachiyo Todoroki (Kana Asumi, Saki Fujita and Eri Kitamura) (eps 1-12)']","['#1: ""Heart no Edge ni Idomou Go to Heart Edge (ハートのエッジに挑もう\u3000Go to Heart Edge)"" by Souta Takanashi, Jun Satou, and Souma Hiroomi (Jun Fukuyama, Daisuke Ono and Hiroshi Kamiya) (eps 1-8, 10-12)', '#2: ""Golden Day (ゴールデン・デイ）"" by Mahiru Inami (Saki Fujita) (ep 9)', '#3: ""SOMEONE ELSE"" by Popura Taneshima, Mahiru Inami, and Yachiyo Todoroki (Kana Asumi, Saki Fujita and Eri Kitamura) (ep 13)']"
6958,False,Hyakko Extra,,ヒャッコ エクストラ,['Hyakko OVA'],https://cdn.myanimelist.net/images/anime/1628/98051.jpg,OVA,Manga,1,Finished Airing,False,"{'from': '2009-10-08T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 8, 'month': 10, 'year': 2009}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Oct 8, 2009'}",9 min,PG-13 - Teens 13 or older,6.77,5131,4534,4860,9339,5,None,,,"{'Adaptation': [{'mal_id': 8482, 'type': 'manga', 'name': 'Hyakko', 'url': 'https://myanimelist.net/manga/8482/Hyakko'}], 'Parent story': [{'mal_id': 4550, 'type': 'anime', 'name': 'Hyakko', 'url': 'https://myanimelist.net/anime/4550/Hyakko'}]}",[],[],"[{'mal_id': 22, 'type': 'anime', 'name': 'Nippon Animation', 'url': 'https://myanimelist.net/anime/producer/22/Nippon_Animation'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]",[],"['""Gakuen Seikatsu (学園生活)"" by Mana Ogawa and Fumiko Orikasa.']"
6959,False,GA: Geijutsuka Art Design Class: Aozora ga Kakitai,,GA 芸術科アートデザインクラス 青空が描きたい,"['GA: Geijutsuka Art Design Class OVA', 'GA: ADC OVA']",https://cdn.myanimelist.net/images/anime/6/16229.jpg,OVA,4-koma manga,1,Finished Airing,False,"{'from': '2010-04-02T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 2, 'month': 4, 'year': 2010}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Apr 2, 2010'}",24 min,PG-13 - Teens 13 or older,7.09,1958,3232,6719,4170,2,None,,,"{'Adaptation': [{'mal_id': 13634, 'type': 'manga', 'name': 'GA: Geijutsuka Art Design Class', 'url': 'https://myanimelist.net/manga/13634/GA__Geijutsuka_Art_Design_Class'}], 'Parent story': [{'mal_id': 5670, 'type': 'anime', 'name': 'GA: Geijutsuka Art Design Class', 'url': 'https://myanimelist.net/anime/5670/GA__Geijutsuka_Art_Design_Class'}]}",[],[],"[{'mal_id': 292, 'type': 'anime', 'name': 'AIC Plus+', 'url': 'https://myanimelist.net/anime/producer/292/AIC_Plus_'}]","[{'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 23, 'type': 'anime', 'name': 'School', 'url': 'https://myanimelist.net/anime/genre/23/School'}, {'mal_id': 42, 'type': 'anime', 'name': 'Seinen', 'url': 'https://myanimelist.net/anime/genre/42/Seinen'}]","['""Osaki ni s\'il vous plaît (お先にシルブプレ)"" by Saiwai Koukou GA girls']","['""Kokoro-iro Palettes (ココロいろ Palettes)"" by GA Genki Girls']"
6964,True,Yuu☆Yuu☆Hakusho Picture Drama,,幽☆遊☆白書,"['Yu Yu Hakusho Picture Drama', 'YuYu Hakusho']",https://cdn.myanimelist.net/images/anime/5/19920.jpg,Special,Manga,1,Finished Airing,False,"{'from': '2009-10-27T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 27, 'month': 10, 'year': 2009}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Oct 27, 2009'}",6 min,PG-13 - Teens 13 or older,6.62,3410,5259,5097,8271,10,None,,,"{'Prequel': [{'mal_id': 392, 'type': 'anime', 'name': 'Yuu☆Yuu☆Hakusho', 'url': 'https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho'}], 'Other': [{'mal_id': 2125, 'type': 'anime', 'name': 'Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou', 'url': 'https://myanimelist.net/anime/2125/Yuu☆Yuu☆Hakusho__Eizou_Hakusho_-_Ankoku_Bujutsukai_no_Shou'}, {'mal_id': 2126, 'type': 'anime', 'name': 'Yuu☆Yuu☆Hakusho: Eizou Hakusho II', 'url': 'https://myanimelist.net/anime/2126/Yuu☆Yuu☆Hakusho__Eizou_Hakusho_II'}]}",[],[],"[{'mal_id': 1, 'type': 'anime', 'name': 'Studio Pierrot', 'url': 'https://myanimelist.net/anime/producer/1/Studio_Pierrot'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 17, 'type': 'anime', 'name': 'Martial Arts', 'url': 'https://myanimelist.net/anime/genre/17/Martial_Arts'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 6, 'type': 'anime', 'name': 'Demons', 'url': 'https://myanimelist.net/anime/genre/6/Demons'}, {'mal_id': 27, 'type': 'anime', 'name': 'Shounen', 'url': 'https://myanimelist.net/anime/genre/27/Shounen'}]",[],[]
6965,True,Kaiketsu Zorori: Mahoutsukai no Deshi/Dai Kaizoku no Takara Sagashi,Kaiketsu Zorori Movie,かいけつゾロリ　まほう使いのでし　大かいぞくの宝さがし,"['Kaiketsu Zorori: Mahou Tsukai no Deshi', 'Kaiketsu Zorori Movie (1993)']",https://cdn.myanimelist.net/images/anime/13/16224.jpg,Movie,Unknown,1,Finished Airing,False,"{'from': '1993-07-17T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 17, 'month': 7, 'year': 1993}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Jul 17, 1993'}",53 min,G - All Ages,6.17,125,7338,12407,388,1,None,,,"{'Parent story': [{'mal_id': 3638, 'type': 'anime', 'name': 'Kaiketsu Zorori', 'url': 'https://myanimelist.net/anime/3638/Kaiketsu_Zorori'}]}",[],[],[],"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]","['""Kaiketsu Zorori! (かいけつゾロリ!)"" by Akira Kamiya']",[]
6970,False,Choujin Sentai Baratack,,超人戦隊バラタック,"['Balatack', 'Baratak', 'Superman Task Force Baratack', 'Chojin Sentai Baratack', 'Superhuman Combat Team Baratack', 'Choujin Sentai Barattack']",https://cdn.myanimelist.net/images/anime/6/69967.jpg,TV,Unknown,31,Finished Airing,False,"{'from': '1977-07-03T00:00:00+00:00', 'to': '1978-03-05T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 7, 'year': 1977}, 'to': {'day': 5, 'month': 3, 'year': 1978}}, 'string': 'Jul 3, 1977 to Mar 5, 1978'}",25 min per ep,PG-13 - Teens 13 or older,6.25,121,6982,11071,675,3,None,Summer 1977,Unknown,"{'Other': [{'mal_id': 10954, 'type': 'anime', 'name': 'Toei Robot Girls', 'url': 'https://myanimelist.net/anime/10954/Toei_Robot_Girls'}]}",[],[],"[{'mal_id': 18, 'type': 'anime', 'name': 'Toei Animation', 'url': 'https://myanimelist.net/anime/producer/18/Toei_Animation'}]","[{'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 18, 'type': 'anime', 'name': 'Mecha', 'url': 'https://myanimelist.net/anime/genre/18/Mecha'}]","['""Choujin Sentai Baratack (超人戦隊バラタック)"" by Columbia Yurikago Kai, Ichirou Mizuki']","['""Nakamatte Ii na (なかまっていいな)"" by Columbia Yurikago Kai, Koorogi \'73, Mitsuko Horie']"
6971,False,Gegege no Kitarou (1971),,ゲゲゲの鬼太郎,[],https://cdn.myanimelist.net/images/anime/6/27399.jpg,TV,Manga,45,Finished Airing,False,"{'from': '1971-10-07T00:00:00+00:00', 'to': '1972-09-28T00:00:00+00:00', 'prop': {'from': {'day': 7, 'month': 10, 'year': 1971}, 'to': {'day': 28, 'month': 9, 'year': 1972}}, 'string': 'Oct 7, 1971 to Sep 28, 1972'}",25 min per ep,G - All Ages,6.52,285,5682,9079,1631,3,None,Fall 1971,Unknown,"{'Adaptation': [{'mal_id': 10499, 'type': 'manga', 'name': 'GeGeGe no Kitarou', 'url': 'https://myanimelist.net/manga/10499/GeGeGe_no_Kitarou'}], 'Alternative version': [{'mal_id': 2165, 'type': 'anime', 'name': 'Gegege no Kitarou (2007)', 'url': 'https://myanimelist.net/anime/2165/Gegege_no_Kitarou_2007'}, {'mal_id': 5688, 'type': 'anime', 'name': 'Gegege no Kitarou (1968)', 'url': 'https://myanimelist.net/anime/5688/Gegege_no_Kitarou_1968'}, {'mal_id': 7307, 'type': 'anime', 'name': 'Gegege no Kitarou (1985)', 'url': 'https://myanimelist.net/anime/7307/Gegege_no_Kitarou_1985'}, {'mal_id': 7619, 'type': 'anime', 'name': 'Gegege no Kitarou (1996)', 'url': 'https://myanimelist.net/anime/7619/Gegege_no_Kitarou_1996'}, {'mal_id': 8150, 'type': 'anime', 'name': 'Gegege no Kitarou: Chisougan', 'url': 'https://myanimelist.net/anime/8150/Gegege_no_Kitarou__Chisougan'}], 'Spin-off': [{'mal_id': 3710, 'type': 'anime', 'name': 'Hakaba Kitarou', 'url': 'https://myanimelist.net/anime/3710/Hakaba_Kitarou'}], 'Other': [{'mal_id': 37140, 'type': 'anime', 'name': 'Gegege no Kitarou (2018)', 'url': 'https://myanimelist.net/anime/37140/Gegege_no_Kitarou_2018'}]}",[],[],"[{'mal_id': 18, 'type': 'anime', 'name': 'Toei Animation', 'url': 'https://myanimelist.net/anime/producer/18/Toei_Animation'}]","[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 31, 'type': 'anime', 'name': 'Super Power', 'url': 'https://myanimelist.net/anime/genre/31/Super_Power'}, {'mal_id': 6, 'type': 'anime', 'name': 'Demons', 'url': 'https://myanimelist.net/anime/genre/6/Demons'}, {'mal_id': 37, 'type': 'anime', 'name': 'Supernatural', 'url': 'https://myanimelist.net/anime/genre/37/Supernatural'}]","['""Gegege no Kitarou (ゲゲゲの鬼太郎)"" by Kazuo Kumakura']","['""Karankolon no Uta (カランコロンのうた)"" by Midori Katou, Columbia Yurikago Kai']"
6973,True,Senkou no Night Raid,Night Raid 1931,閃光のナイトレイド,[],https://cdn.myanimelist.net/images/anime/7/24229.jpg,TV,Original,13,Finished Airing,False,"{'from': '2010-04-06T00:00:00+00:00', 'to': '2010-06-29T00:00:00+00:00', 'prop': {'from': {'day': 6, 'month': 4, 'year': 2010}, 'to': {'day': 29, 'month': 6, 'year': 2010}}, 'string': 'Apr 6, 2010 to Jun 29, 2010'}",23 min per ep,R - 17+ (violence & profanity),6.88,10270,4094,2484,38522,49,None,Spring 2010,Tuesdays at 01:30 (JST),"{'Side story': [{'mal_id': 8800, 'type': 'anime', 'name': 'Senkou no Night Raid Specials', 'url': 'https://myanimelist.net/anime/8800/Senkou_no_Night_Raid_Specials'}, {'mal_id': 10201, 'type': 'anime', 'name': 'Senkou no Night Raid: Aruku Hako', 'url': 'https://myanimelist.net/anime/10201/Senkou_no_Night_Raid__Aruku_Hako'}], 'Summary': [{'mal_id': 8840, 'type': 'anime', 'name': 'Senkou no Night Raid: Yogen', 'url': 'https://myanimelist.net/anime/8840/Senkou_no_Night_Raid__Yogen'}]}","[{'mal_id': 16, 'type': 'anime', 'name': 'TV Tokyo', 'url': 'https://myanimelist.net/anime/producer/16/TV_Tokyo'}, {'mal_id': 17, 'type': 'anime', 'name': 'Aniplex', 'url': 'https://myanimelist.net/anime/producer/17/Aniplex'}]","[{'mal_id': 376, 'type': 'anime', 'name': 'Sentai Filmworks', 'url': 'https://myanimelist.net/anime/producer/376/Sentai_Filmworks'}]","[{'mal_id': 56, 'type': 'anime', 'name': 'A-1 Pictures', 'url': 'https://myanimelist.net/anime/producer/56/A-1_Pictures'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 38, 'type': 'anime', 'name': 'Military', 'url': 'https://myanimelist.net/anime/genre/38/Military'}, {'mal_id': 13, 'type': 'anime', 'name': 'Historical', 'url': 'https://myanimelist.net/anime/genre/13/Historical'}, {'mal_id': 31, 'type': 'anime', 'name': 'Super Power', 'url': 'https://myanimelist.net/anime/genre/31/Super_Power'}]","['""Yakusoku (約束)"" by MUCC']","['""Mirai e... (未来へ…)"" by HIMEKA']"
