animeID, request_cached, title, title_english, title_japanese,         title_synonyms, image_url, type, source, episodes, status, airing, aired,         duration, rating, score, scored_by, rank, popularity, members, favorites,         background, premiered, broadcast, related, producer, licensor, studio,         genre, opening_theme, ending_theme
36841,False,Sousha wa Tada Senaka to Teikin de Kataru Nomi,,奏者はただ背中と提琴で語るのみ,['Irodorimidori'],https://cdn.myanimelist.net/images/anime/13/89092.jpg,Music,Original,1,Finished Airing,False,"{'from': '2017-11-20T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 20, 'month': 11, 'year': 2017}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Nov 20, 2017'}",2 min,G - All Ages,5.49,316,9446,11411,585,0,None,,,"{'Prequel': [{'mal_id': 36608, 'type': 'anime', 'name': 'Session High⤴', 'url': 'https://myanimelist.net/anime/36608/Session_High⤴'}], 'Sequel': [{'mal_id': 37355, 'type': 'anime', 'name': 'Irotoridori no Melody', 'url': 'https://myanimelist.net/anime/37355/Irotoridori_no_Melody'}]}","[{'mal_id': 167, 'type': 'anime', 'name': 'Sega', 'url': 'https://myanimelist.net/anime/producer/167/Sega'}]",[],[],"[{'mal_id': 19, 'type': 'anime', 'name': 'Music', 'url': 'https://myanimelist.net/anime/genre/19/Music'}]",[],[]
36843,False,Youtai Nuhai Zai Shanghai 2: Xianglian Mima,A Jewish Girl in Shanghai Part 2: The Mystery of the Necklace,犹太女孩在上海2：项链密码,[],https://cdn.myanimelist.net/images/anime/6/89106.jpg,Movie,Manga,1,Finished Airing,False,"{'from': '2015-08-28T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 28, 'month': 8, 'year': 2015}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Aug 28, 2015'}",1 hr 23 min,G - All Ages,,,12671,15709,132,0,None,,,"{'Prequel': [{'mal_id': 21129, 'type': 'anime', 'name': 'Youtai Nuhai Zai Shanghai', 'url': 'https://myanimelist.net/anime/21129/Youtai_Nuhai_Zai_Shanghai'}]}",[],[],[],"[{'mal_id': 38, 'type': 'anime', 'name': 'Military', 'url': 'https://myanimelist.net/anime/genre/38/Military'}, {'mal_id': 13, 'type': 'anime', 'name': 'Historical', 'url': 'https://myanimelist.net/anime/genre/13/Historical'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]",[],[]
36846,False,Fruits 5 Shimai,,フルーツ５姉妹,['Minna no Uta'],https://cdn.myanimelist.net/images/anime/4/89127.jpg,Music,Original,1,Finished Airing,False,"{'from': '2016-10-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 1, 'month': 10, 'year': 2016}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Oct 1, 2016'}",2 min,G - All Ages,,,13635,15920,121,0,None,,,{},"[{'mal_id': 111, 'type': 'anime', 'name': 'NHK', 'url': 'https://myanimelist.net/anime/producer/111/NHK'}]",[],"[{'mal_id': 235, 'type': 'anime', 'name': 'Shirogumi', 'url': 'https://myanimelist.net/anime/producer/235/Shirogumi'}]","[{'mal_id': 19, 'type': 'anime', 'name': 'Music', 'url': 'https://myanimelist.net/anime/genre/19/Music'}, {'mal_id': 15, 'type': 'anime', 'name': 'Kids', 'url': 'https://myanimelist.net/anime/genre/15/Kids'}]",[],[]
36847,True,Nanatsu no Bitoku,The Seven Heavenly Virtues,七つの美徳,[],https://cdn.myanimelist.net/images/anime/9/89129.jpg,TV,Other,10,Finished Airing,False,"{'from': '2018-01-27T00:00:00+00:00', 'to': '2018-03-31T00:00:00+00:00', 'prop': {'from': {'day': 27, 'month': 1, 'year': 2018}, 'to': {'day': 31, 'month': 3, 'year': 2018}}, 'string': 'Jan 27, 2018 to Mar 31, 2018'}",5 min per ep,R+ - Mild Nudity,5.22,10890,9993,2494,38261,76,None,Winter 2018,Saturdays at 00:25 (JST),"{'Other': [{'mal_id': 33834, 'type': 'anime', 'name': 'Sin: Nanatsu no Taizai', 'url': 'https://myanimelist.net/anime/33834/Sin__Nanatsu_no_Taizai'}], 'Side story': [{'mal_id': 37172, 'type': 'anime', 'name': 'Nanatsu no Bitoku Specials', 'url': 'https://myanimelist.net/anime/37172/Nanatsu_no_Bitoku_Specials'}]}","[{'mal_id': 547, 'type': 'anime', 'name': 'Hobby Japan', 'url': 'https://myanimelist.net/anime/producer/547/Hobby_Japan'}]","[{'mal_id': 376, 'type': 'anime', 'name': 'Sentai Filmworks', 'url': 'https://myanimelist.net/anime/producer/376/Sentai_Filmworks'}]","[{'mal_id': 397, 'type': 'anime', 'name': 'Bridge', 'url': 'https://myanimelist.net/anime/producer/397/Bridge'}]","[{'mal_id': 9, 'type': 'anime', 'name': 'Ecchi', 'url': 'https://myanimelist.net/anime/genre/9/Ecchi'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}]","['""Psychomachia"" by Yousei Teikoku']","['""Psychomachia"" by Yousei Teikoku']"
36848,True,Aishen Qiaokeli-ing...II,,爱神巧克力ING... 2期,"[""Cupid's Chocolates 2nd Season"", 'Aishen Qiaokeli Jinxingshi 2nd Season']",https://cdn.myanimelist.net/images/anime/5/89258.jpg,ONA,Web manga,15,Finished Airing,False,"{'from': '2017-12-21T00:00:00+00:00', 'to': '2018-04-05T00:00:00+00:00', 'prop': {'from': {'day': 21, 'month': 12, 'year': 2017}, 'to': {'day': 5, 'month': 4, 'year': 2018}}, 'string': 'Dec 21, 2017 to Apr 5, 2018'}",19 min per ep,PG-13 - Teens 13 or older,7.27,7112,2469,3588,19197,65,None,,,"{'Prequel': [{'mal_id': 32323, 'type': 'anime', 'name': 'Aishen Qiaokeli-ing...', 'url': 'https://myanimelist.net/anime/32323/Aishen_Qiaokeli-ing'}, {'mal_id': 40835, 'type': 'anime', 'name': 'Aishen Qiaokeli-ing: Wanjie Jinian', 'url': 'https://myanimelist.net/anime/40835/Aishen_Qiaokeli-ing__Wanjie_Jinian'}]}","[{'mal_id': 1349, 'type': 'anime', 'name': 'Tencent Animation & Comics', 'url': 'https://myanimelist.net/anime/producer/1349/Tencent_Animation___Comics'}, {'mal_id': 1414, 'type': 'anime', 'name': 'bilibili', 'url': 'https://myanimelist.net/anime/producer/1414/bilibili'}]",[],"[{'mal_id': 1350, 'type': 'anime', 'name': 'B.CMAY PICTURES', 'url': 'https://myanimelist.net/anime/producer/1350/BCMAY_PICTURES'}]","[{'mal_id': 35, 'type': 'anime', 'name': 'Harem', 'url': 'https://myanimelist.net/anime/genre/35/Harem'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}, {'mal_id': 23, 'type': 'anime', 'name': 'School', 'url': 'https://myanimelist.net/anime/genre/23/School'}]","['""Aishen Qiaokeli Jinxing Shi (爱神巧克力进行时)"" by Wu Jiaying']","['""Huakai Shijie (花开时节)"" by Wu Jiaying']"
36849,True,Nariyuki→Papakatsu Girls!! The Animation,,なりゆき→パパ活GIRLS!! THE ANIMATION,[],https://cdn.myanimelist.net/images/anime/1019/93607.jpg,OVA,Visual novel,2,Finished Airing,False,"{'from': '2018-02-23T00:00:00+00:00', 'to': '2018-06-29T00:00:00+00:00', 'prop': {'from': {'day': 23, 'month': 2, 'year': 2018}, 'to': {'day': 29, 'month': 6, 'year': 2018}}, 'string': 'Feb 23, 2018 to Jun 29, 2018'}",23 min per ep,Rx - Hentai,6.86,1383,,6622,4331,15,None,,,{},[],[],"[{'mal_id': 405, 'type': 'anime', 'name': 'T-Rex', 'url': 'https://myanimelist.net/anime/producer/405/T-Rex'}]","[{'mal_id': 12, 'type': 'anime', 'name': 'Hentai', 'url': 'https://myanimelist.net/anime/genre/12/Hentai'}]",[],[]
36851,False,Bousai Keihatsu Douga,The Disaster Awareness Video,防災啓発動画,[],https://cdn.myanimelist.net/images/anime/10/89145.jpg,ONA,Original,2,Finished Airing,False,"{'from': '2014-04-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 1, 'month': 4, 'year': 2014}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Apr, 2014'}",6 min per ep,G - All Ages,,,13152,15902,122,0,None,,,{},[],[],[],"[{'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",[],[]
36855,True,Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,,「映画 中二病でも恋がしたい！ -Take On Me-」ミニドラマ『公開直前の・・・回顧劇場』,"['Love', 'Chunibyou and Other Delusions Take On Me Mini-Theater']",https://cdn.myanimelist.net/images/anime/2/89558.jpg,ONA,Unknown,24,Finished Airing,False,"{'from': '2017-11-17T00:00:00+00:00', 'to': '2018-01-05T00:00:00+00:00', 'prop': {'from': {'day': 17, 'month': 11, 'year': 2017}, 'to': {'day': 5, 'month': 1, 'year': 2018}}, 'string': 'Nov 17, 2017 to Jan 5, 2018'}",20 sec per ep,G - All Ages,6.8,2449,4389,4697,10159,23,None,,,"{'Other': [{'mal_id': 35608, 'type': 'anime', 'name': 'Chuunibyou demo Koi ga Shitai! Movie: Take On Me', 'url': 'https://myanimelist.net/anime/35608/Chuunibyou_demo_Koi_ga_Shitai_Movie__Take_On_Me'}]}",[],[],"[{'mal_id': 2, 'type': 'anime', 'name': 'Kyoto Animation', 'url': 'https://myanimelist.net/anime/producer/2/Kyoto_Animation'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]",[],[]
36856,True,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA),,トミカハイパーレスキュー ドライブヘッド 機動救急警察 (2018),['Mobile Emergency Police'],https://cdn.myanimelist.net/images/anime/1997/90929.jpg,ONA,Other,8,Finished Airing,False,"{'from': '2018-01-20T00:00:00+00:00', 'to': '2018-08-18T00:00:00+00:00', 'prop': {'from': {'day': 20, 'month': 1, 'year': 2018}, 'to': {'day': 18, 'month': 8, 'year': 2018}}, 'string': 'Jan 20, 2018 to Aug 18, 2018'}",15 min per ep,PG - Children,,,12181,13508,267,3,None,,,"{'Prequel': [{'mal_id': 34741, 'type': 'anime', 'name': 'Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV)', 'url': 'https://myanimelist.net/anime/34741/Tomica_Hyper_Rescue_Drive_Head__Kidou_Kyuukyuu_Keisatsu_TV'}], 'Other': [{'mal_id': 36857, 'type': 'anime', 'name': 'Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie', 'url': 'https://myanimelist.net/anime/36857/Tomica_Hyper_Rescue_Drive_Head__Kidou_Kyuukyuu_Keisatsu_Movie'}]}","[{'mal_id': 145, 'type': 'anime', 'name': 'TBS', 'url': 'https://myanimelist.net/anime/producer/145/TBS'}]",[],"[{'mal_id': 28, 'type': 'anime', 'name': 'OLM', 'url': 'https://myanimelist.net/anime/producer/28/OLM'}]","[{'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 39, 'type': 'anime', 'name': 'Police', 'url': 'https://myanimelist.net/anime/genre/39/Police'}, {'mal_id': 18, 'type': 'anime', 'name': 'Mecha', 'url': 'https://myanimelist.net/anime/genre/18/Mecha'}]",[],[]
36857,True,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,,劇場版 トミカハイパーレスキュー ドライブヘッド 機動救急警察,['Mobile Emergency Police Movie'],https://cdn.myanimelist.net/images/anime/1709/90853.jpg,Movie,Other,1,Finished Airing,False,"{'from': '2018-08-24T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 24, 'month': 8, 'year': 2018}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Aug 24, 2018'}",57 min,PG - Children,,,12183,12148,434,1,None,,,"{'Other': [{'mal_id': 34741, 'type': 'anime', 'name': 'Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV)', 'url': 'https://myanimelist.net/anime/34741/Tomica_Hyper_Rescue_Drive_Head__Kidou_Kyuukyuu_Keisatsu_TV'}, {'mal_id': 36856, 'type': 'anime', 'name': 'Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA)', 'url': 'https://myanimelist.net/anime/36856/Tomica_Hyper_Rescue_Drive_Head__Kidou_Kyuukyuu_Keisatsu_ONA'}]}","[{'mal_id': 145, 'type': 'anime', 'name': 'TBS', 'url': 'https://myanimelist.net/anime/producer/145/TBS'}]",[],"[{'mal_id': 28, 'type': 'anime', 'name': 'OLM', 'url': 'https://myanimelist.net/anime/producer/28/OLM'}]","[{'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 39, 'type': 'anime', 'name': 'Police', 'url': 'https://myanimelist.net/anime/genre/39/Police'}, {'mal_id': 18, 'type': 'anime', 'name': 'Mecha', 'url': 'https://myanimelist.net/anime/genre/18/Mecha'}]",[],[]
